winery,wine_name,wine_type,wine_country,average_rating,num_of_ratings,wine_price,grapes,alcohol_content,reviews
Tenuta delle Terre Nere,Etna Rosato 2019,Rosé wine,Italy,4.0,176,28.99,100% Nerello Mascalese,,"Delightful minerality; wet stone & hints of honey complement the fruit. Medium to light body, pretty dry, with refreshing acidity. Savory taste, clean fresh finish. 3,9*,Light orange/salmon. Strawberry, orange peel and salty air on nose. Saltiness come through on creamy but lean mouthfeel with a Meyer lemon finish. Gorgeous,Quite the complex Rosato. All Nerello varietal, has the fruity nose of a red with strawberry and cherry, but the taste of a white with smooth acidity rounding out the taste."
Quady,Electra Red (California Moscato) 2017,Dessert wine,United States,4.2,70,,100% Orange Muscat,4.5,"Sweet, Berry, have to be in mood for sweet!,YUMMMM! This might be my new favorite! Tart yet still sweet, slightly effervescent, no bitterness. Delicious. Will purchase again and again.,Very good tasting with no bitter after taste! Wife loves it"
Domaine de Durban,Muscat de Beaumes-de-Venise 2016,Fortified Wine,France,3.8,95,35.99,100% Muscat Blanc,,"pale yellow. pronounced intensity with high alcoholic smell. orange, lychee, honey, and muscat grape itself. it's like concentrated grape juice. sweet, medium bodied, long finish.,This clear syrupy light orange yellow wine, has strong smell of l orange blossom lychee dried apricots,and small hint of green yellow plum, low to medium acidity, full body rond, sweetness med high, taste of lychee caramelized orange dried apricots green yellow plum. Long finish, did go very well with blue cheese.,👁 pale lemon yellow 👃 bread yeast and pear 👅 apricot, honey, peach and pear This isn’t a favourite but it was very pleasant. It’s pretty light but very rich. Worth a try if it’s on the menu."
Jean-Luc Colombo,Cape Bleue Rosé 2019,Rosé wine,France,3.9,312,13.24,"Shiraz/Syrah, Mourvedre",12.5,"It’s rosé season and that means pink wine and sunny almost warm days. This offering is pale pink, dry, melon and light berry with a ping of tart finish.,Yum. Big aromatics here. Wild strawberry and white peach with a hint of rose. Creamy mouthfeel at first, high acid at the end. Red cherry and tart lime on the palate.,Light pink and peachy color. Floral, rose, watermelon, Strawberry, kiwi, lemon but not tart. A bit creamy even. Crispy refreshing. Great after a day on the slopes."
La Rioja Alta,Viña Alberdi Reserva 2015,Red wine,Spain,4.2,3932,19.99,100% Tempranillo,13.5,"Blackberry tobacco...paired with grilled eggplant parmesan sandwich (red pepper romanesco, prosciutto and parmesan). Nose of black cherry tobacco, light pepper and cooling eucalyptus. Fruit notes of plum, blackberry and currants. Lighter color with medium body that has a cool dry finish. Great balance and value for this wine.,Value play like crazy. From a solid producer top to bottom. Highly recommended at the price point. Huge flavor. Love the age.,Let breathe for 1-2 hours—it sings with leather, vanilla, dark fruit, baking spice finish with gripping tannin. Powerful but elegant rioja."
Casale del Giglio,Biancolella Lazio Faro della Guardia Bianco 2017,White wine,Italy,4.2,76,31.95,Biancolella,,"Very bright flavors. Clean, creamy, smooth. Minerals,Amazing with Uni and pasta.,Fruity, salty could with fish"
Kelby James Russell,Dry Rosé 2016,Rosé wine,United States,3.9,61,23,,,"Strawberry nose, strawberry on the palate. Interesting in that, although the wine is very definitely dry, it hints of strawberry candy.,Tart, crisp, an eye opener for sure, full on flavors of pink grapefruit, watermelon, citrus. Enjoy 🍷🤓,Early days yet, but thinking this might be this year's best rosé. Reminds me a lot of Sheldrake's 2015; more raspberry here than strawberry."
Château Rieussec,Carmes de Rieussec Sauternes 2011,Dessert wine,France,4.1,571,36.99,"Sauvignon Blanc, Sémillon",13.5,"So yum! Beautiful gold color. Medium plus body. Lemon curd, honey, dried apricots, marmalade, orange zest, wax, white flower, honeysuckle. Great acidity. Very well balanced. So enjoyable!,Strong Sauternes ""shoe-polish"" smell with Cooked orange, tropical fruit and some oak hints. Balanced sweet and acid. Although lack of some complexity, it still a delicate dessert wine.,4.4⭐️ chateau owned by Lafite Rothchil Family. aged from 16-26 month in barrel, depending on the vintage. 55% in new oak. you can pair this wine with all courses. deep lemon, nose lychee, hazelnut, almond, palate: ripe peach , honeysuckles and apricot, high in acidity, full body with lingering finish"
Shumi,Iberiuli Kindzmarauli Semi-Sweet Premium 2018,Red wine,Georgia,4.3,530,20.99,Saperavi,,"Steel tank only Stopped fermentation by low temperature Intense balsamic vinegar sweet glace with a strong plum confiture Mouth is very smooth sweet with a high acidity and a medium tannin with again the balsamico glace dominating with a little plum strawberry and syroup pear exit and persistent aftertaste. Odd sweet savoury combination for a wine that could be an interesting match for food 3.7,Rich deep taste of sweet dried fruits, pomegranate and sweet cherry. Georgian classic,Sweeter than expected, fairly unusual"
Château Doisy-Vedrines,Sauternes (Grand Cru Classé) 2003,Dessert wine,France,4.2,482,66.99,"Sauvignon Blanc, Sémillon",,"JUICE OF THE GODS Sauternes has a huge following and it's easy to see why. At 12 years this is the magnificent color of frozen honey, like Jurrasic Park tree sap! Scents of honey that buzz like a bee hive, with peaches & quince. A palate thickly layered with peaches & pineapple laced with minerality. The texture can only be described as guava-like. Then a finish that hangs, revealing pleasing notes of cloves. I'm a happy man! Gigi, where are you.....?,Excellent. Orange marmalade, incredibly rich, nuts, nougat. A beautifully made Sauternes that’s never cloying. Long lasting. Best Doisy Védrines I’ve had?,This noble manor and its vineyards were once called Doizic, and during the middle of the 17th century, belonged to Jean Raymond, a Registrar with the Guyenne Borard of Excice. Tasted several vintages recently. Beautiful nose of ripe sweet fruit and complex spice. On the palate aromatic flavors of peach & apricot emerge with citrus zest and sweet spice. Still tasting great, sweet and fresh. Lingering finish ending pleasantly fresh and sweet. Good value. Tasting Sample."
Stella Rosa,Stella Berry N.V.,Sparkling wine,Italy,4.0,1691,11.99,"Brachetto, Moscato Bianco",,"One of the most unusual reds...effervescent, relatively high residual sugar content, light, refreshing when chilled. I like it on the veranda on a hot summer day!,This was a random recommendation from a guy in the grocery store. It's sweet, but fruity sweet not too sugary. And very well balenced. Good solid summer sipping bubbly.,Great sweet sparkling wine. Lots of fine bubbles with hints of peach, pear, golden apples, and raspberry. Great price point when buying from Cosco in USA for under $10"
Ameztoi,Rubentis 2019,Rosé wine,Spain,4.3,249,21.95,100% Hondarrabi Zuri,,"Crisp peach / stone fruit on the nose. Nice acid, mineral forward flavors with tart cherry / strawberry background. Nicely complemented with soft bubbles. Excellent natural rose.,A blend of 2 indigenous grapes: Hondarribi Beltza (red) and Hondarribi Zuri (white) from Basque Country, Spain. Best enjoyed poured from a great height! Clear pale pink color. Clean, youthful, medium+ intensity nose of gooseberry, elderberry , red currant, saline and wet slate. Dry, medium body, med alcohol, medium+ acidity, light tannins and light effervesce on the tongue. Continued in comments below:,Really unique rosé. Light pink hue with mild, Vihno Verde-like mild effervescence. Beautiful green pepper notes on the nose, almost a mild jalapeño note. Bright and acidic on the tongue and would pair beautifully with Mexican food. Well worth exploring for when your usual rosé becomes boring."
Flowers,Pinot Noir 2018,Red wine,United States,4.3,483,35.45,100% Pinot Noir,14.1,"Stunning Ruby color with aromas of sweet red fruit and herb baking spice. Aged for 10 months on French oak, (18% new). On the palate flavors of cherry and raspberry with clove, herb and baking spices. Long finish, fine full tannins ending with fruit, spice and slight earthy notes. Top-notch!,Such a wonderful wine. It has a rich and fragrant forest nose, and a bright and fresh taste, balanced by a sold tannin backbone, and a lingering mineral finish. But oh the way it plays with food! It held the Aleppo pepper from a squash dish and danced with it, and gently supported the roast chicken, and wa saintly fabulous.,Really unique sonoma pinot. Ripe cherry and strawberry leaps from the glass. Wild raspberry and pomegranate too... on the one hand it seems ultra sweet but there's this perfectly counter-balanced tangy acidity. Perhaps it's better to say how it feels than how it tastes. It simply has a ton of personality: an expressive, gregarious, sensuous wine. Just kind of titillates the palate from the tip of your tongue to the long, flinty, mineral finish. Too cool for school. Makes pinot look easy."
Cantine Paradiso,Posta Piana Primitivo 2018,Red wine,Italy,4.2,1353,16,100% Primitivo,,"An initial rush of fruit flowing imperceptibly into beautifully suave chocolate, cigars, and lasting coffee dryness. Really very very nice indeed.,Great wine🍷 Nose of cocoa, oak, chocolate and smoke. Palate follows, adding leather, cherry and dark fruit: blackberry and plum. Some notes of prune and coffee. Full body, bold and smooth, a bit dry.,Beautiful purple color. In the mouth a beautiful juicy and fruity broth. Consistent body, imperceptible tannins. On the nose it reminded me a lot of Ports. Slight acidity at the end of the mouth, which brings a slight sweetness. Ooops, my 400th review..."
Le Coste,Bianchetto 2019,White wine,Italy,4.2,47,31.99,"Malvasia, Moscato, Procanico",,"peach !! tea tannins !! everything to love about skin contact orange !! aromatic !!!!! slight barnyard funk & so easy drinking i am absolutely smitten,worked surprisingly well with spice. a great go-to orange. citrus but on the more acidic side, bright but balanced. easy drinker. not quite ripe peach with Meyer lemon,Naturally produced skin contact orange wine from Pitigliano 🇮🇹. Blend of: Procanico, Malvasia, Moscato, and other grapes grown on Tufo (volcanic ash). Demeter certified organic. Biodynamic. Fermented on skins for 2 weeks. Aged 6 months in cuvée. No sulphites added. High acid. Dry. Med body. Moderately tannic. A little bitter. Tart lemon and lime, peach, super floral, mousy, funky, minerals, and eucalyptus. Had a bottle at “Pizza Coming Soon”. Paired with honey garlic cauliflower wings. 12% ABV. 3.8 ⭐️✌️"
Hans Greyl,Sauvignon Blanc 2020,White wine,New Zealand,4.3,4840,15.99,100% Sauvignon Blanc,12.5,"Trying it second time. Great again. Tropical fruits papaya mango in dry light refreshing wine. Price quality superb. Cheers 😘🥂🥂🥂🥂🥂🥂🥂,This 2020 edition is as lovely a Kiwi Sauvignon Blanc Blush “rosé” as the 2019 year. Very relaxed and lovely drink at any occasion.,Trying 2020 version and still an excellent wine with an incredible QPR. Beautiful and refreshing palate on lychee, mango, apple and lemon 🍏🍋🍍🥂"
Gadais Pere & Fils,Les Perrières Monopole Muscadet 2017,White wine,France,4.2,30,22.99,100% Melon de Bourgogne,,"Color: pale lemon Smell: grapefruit, pineapple, orange blossom, banana, lemon juice, cream Taste: pineapple, lemon juice, orange blossom, banana, cream, Stats: dry, high acidity, medium plus / full body, medium ABV, medium plus intensity, medium plus finish Very good, drink now Very soft mouth feel, more tropical and orange on the palate. Feels heavier and more serious, still fruity and mineral.,Yet another cheat for blind tasting game. Melon de Bourgogne a.k.s Muscadet. Very rich, round but has relatively low acidity. Got rich yet green apple, peach pear with neutral oak, saline minerals and wax gooseberry citrus. Subtle sharp but round texture. 12%. Not too much alcohol but has bold and round texture. Bold fruit intensity but has medium+ acidity. Dry, bit gold color. It's really interesting conventional Muscadet. I never drank such a bold but round character.,Bread dough, butter, mineral."
Santero,Moscato & Coconut N.V.,Sparkling wine,Italy,4.0,82,12.99,100% Moscato,,"Extreme coconut. It was like sweetened alcoholic coconut milk. Yum. But not something to have all the time,Wow - Lots & lots of Coconut! Delicious! Nice refreshing summer drink.,This wine is pretty good. Like the passion fruit it’s almost ed hardy goodness"
Le Rocher des Violettes,Pétillant Montlouis-sur-Loire 2017,Sparkling wine,France,4.0,69,27.99,Chenin Blanc,,"Had this last night and it was fantastic! Organic chenin blanc bubbly with great qpr compared to champagne. On the nose, apple, honey and butter. On the palate, citrus, minerals, cream and straw. Fine bubbles with a med finish. This is really delicious!,Beautiful ripe pear and yellow apple balanced acidity loose bubble formation,Peaches, vanilla, waxy nose Rich taste high acidity, apples, sweet citrus, waxy finish Very young"
Lillet,Blanc N.V.,Fortified Wine,France,4.1,386,20.99,,,"Delicious, citrus, pear, apple. Refreshing and pleasant. Easy to drink by itself or mix into a cocktail in place of vermouth.,Citrus, lemon, apricot a bit of grapefruit w lilac, magnolia, elderflower and a boquet of flowers. Balanced sweetness and remained acidity renders it a perfect postreè 😍😍,Citrus apple. Nice amounts of honey 🍯. Yum"
Kracher,Cuvée Beerenauslese 2016,Dessert wine,Austria,4.1,253,36.95,"60% Welschriesling, 40% Chardonnay",,"Amazing nectar golden brown texture like sun .... honey mango pineapple silky harmonious. Dont want this to end . Best value for money ever...,Medium to deep golden colour. Candied fruit, dried mango, ginger and some caramel notes. Ripe and high sweetness on the palate, creamy texture with ripe banana, ginger and mango notes, and a long and warm finish with a mild acidity and opulent fruit.,Green apple, honeysuckle, violet, magnolia, Same, salt, apricot Sweet, full body, moderate-high acidity, slight bitter finish"
Ferreira,Tawny Port N.V.,Fortified Wine,Portugal,3.8,9657,14.99,"Touriga Nacional, Touriga Franca, Tinta Roriz, Tinto Cao, Tinta Barroca, Tinta Amarela",19.5,"Max K nailed it. Aged balsamic on the nose along with toffee, coffee, caramel and wood smoke. I might be drinking this wrong because the bartender served it in a tasting glass, but...don't kill the myopic messenger, I guess. On the palate, raisin and fig and date and ALL the dried fruit. Very pleasant, wintry and Christmasy on this hot late summer day. God bless the fortified wines of Oporto and their year-round accessibility.,Just before Christmas, another bottle of this great port wine has finished! Gorgeous and inspiring as ever. Cheers!"
El Maestro Sierra,15 Year Oloroso Sherry N.V.,Fortified Wine,Spain,3.8,798,16.61,100% Palomino,,"DRINKING WINE WITHOUT PANTS A little tired/giddy today and needed to break free! Complicated! So enter the only female run Bodega in Jerez. Founded by a cooper, dormant for 30 yrs, they have some of the oldest known stock. Dry nose of hazelnut, beef jus & mushroom. A dryer palate of whiskey like flavors - caramel, charred oak, Spanish coffee, spicy cinnamon. Salty with a hot oxidized finish. Definite dry sipper. A hit of this will loosen you up, make you feel free....like drinking wine without pants haha!,Complex nose, caramel, umami notes, nuts and vanilla. Medium bodied with high acidity, nutty palate and a long and elegant finish.,15 years old Oloroso. Light caramel colored Caramel and Nuts on the nose. Medium acidity. Nuts on the palate with hints of citrus."
AIX,Rosé 2019,Rosé wine,France,4.0,2653,18.99,100% Grenache,,"Another cottage day another Provence Rosé! Noting goes better in this weather. A delicate peach and pink hued glass. Nose of orange blossoms and stone fruit. Palate shows raspberry, ripe strawberry with some tart citrus and hints of grapefruit. Soft drying finish. 3.8✨ works for me I n 33 degree weather!,Very light salmon color. Passion fruit and not-quite-ripe strawberry are the mains. Nice acid. Great sunny day front yard sipper! 👍🏼,👀 pale and a bit peachy 👃 floral 👅 strawberries; fairly dry. The flavor profile is similar to other rosés but a step above"
Brown Estate,Chaos Theory 2018,Red wine,United States,4.3,167,38.99,"Cabernet Sauvignon, Zinfandel, Petite Sirah",14.5,"Jammy: blackberry, fig, cherry, blackcurrant. Dry, with black pepper and, distantly, honey, but only a bit. Supple mouthfeel. A touch of flint. Well balanced.,It's a proprietary red blend. Petite Sirah, Merlot and Zinfandel. WOW, for so young a wine, it has many layers. Cherry. Pomegranate. Cassis. Super juicy. Vanilla. Violet flowers. Peppery. There's a small sweetness. Honey. Gravel. Allspice. A little loam. Nice acidity and balance. Grippy tannins. Velvety mouth feel. I definitely need more of this. What a wine. It has the juicy-ness of the Zinfandel, the masculinity of the Merlot, and the strength of the Petite Sirah.,What a blend. Fruity and powerful on the pallet, strong slightly dry finish that leave your wanting more."
Joseph Phelps,Sauvignon Blanc 2018,White wine,United States,4.2,176,33.99,100% Sauvignon Blanc,13.5,"Light golden hue with citrus notes on the nose mixing with tart apple on the palate with a hint of vanilla sweetness on the finish. Very fresh SB,Fantastic white wine. Beautiful golden hay color. Notes if green apples lemongrass, melon, lemon zest, and yeast. Good firm firm tannins with great acidity.,4.3 A top tier Napa SB no doubt. Bright golden color. Blueberry, vanilla and soft, ripe pineapple. Deep complexity and balance. White roses and full bodied. ABV - 13.5%"
Scribe,Sylvaner 2019,White wine,United States,4.2,68,36.99,100% Sylvaner,,"My first Sylvaner!! And far from Germany, as this one hails from Sonoma, from the 1 acre planted in the state of California. Thanks Trey Williams for this geeky find! Color of pale straw. Inviting nose of pear, biscuit, honeydew melon, kiwi, and cucumber. Crisp light juicy mouthfeel with med acidity. Palate agrees with the nose completely with the addition of white floral. A delicious juicy white!,4.2/5. A gorgeous wine that just came on 2 days ago from a club shipment. Thank god. Pale straw. Nose screams tropical fruit, pear, and wet stone. More complex than it lets on. Medium acidity and body is light. Stone fruit with lemon as well as loads of bracing minerality that I adore. Finish is crisp but lingers with notes of lemon and saline. Exceptional wine, especially given this is the only acre planted to Sylvaner in CA (per report). Grab a bottle for an aperitif or a warm weather quaff.,Green apple straw pear lemon"
Louis de Grenelle,Peche Imperiale N.V.,Sparkling wine,France,4.1,99,13.99,100% Chenin Blanc,,"It's just peachy,Interesting yet fun bubbly from the Loire! I’m not a big fan of tampering with flavors. They added “natural and artificial flavors.” But, it works with this one. I found it enjoyable. Made in the traditional method, unsure of the grapes. The peach flavor is subtle in this off dry juice. Soft slightly coarse bubbles with med persistence. Flavors of peach 😉, apple, lime, and a hint of shortbread. A great party wine if you’re up for supporting the tampering....,You are a bit hungover and want to delay your headache. You are out of OJ but you have a bottle of this in the fridge. Mission accomplished."
Gran Moraine,Pinot Noir 2018,Red wine,United States,4.3,144,45,100% Pinot Noir,13.5,"Wonderful intensity with cola and black cherry notes. The smooth and lush mouthfeel gains complexity from a touch black pepper and smooth, polished tannis.,This is a wonderful Pinot. Extremely deep ruby in color. Mushroom, leather, and cherry on the nose. Cherry, strawberry, pepper and a touch of cola on the tongue. Quite easy to drink and can stand up to a wide variety of foods. Would definitely buy again.,1.5-hour decant. Medium ruby color. Nice nose of cherry, plum, oak, lavender & a hint of sassafras. In the mouth: plum & strong tea with medium acid & moderate tannins. Long fruit & tea finish. ABV 13.5%. Whole cluster 20%, cold mac 5-10 days, ferment 2-4 wks with manual punch down. 10 mos in French oak (43% new). 4.2-4.3⭐️ from me. Quite good. $35 locally."
Brick House,Chardonnay 2015,White wine,United States,4.2,29,30.59,,,
Auvigue,Solutré Pouilly-Fuissé 2018,White wine,France,4.2,243,36.99,,,
Piattelli,Trinita Grand Reserve 2017,Red wine,Argentina,4.3,698,28.99,,,
Nicolas Feuillatte,Réserve Exclusive Brut Champagne N.V.,Sparkling wine,France,3.9,6306,38.99,,,
Vignalta,Alpianæ 2015,Dessert wine,Italy,4.4,34,,,,
Susana Balbo,Late Harvest Torrontes 2016,Dessert wine,Argentina,3.6,38,26.99,,,
Blandy's,5 Year Old Malmsey Madeira (Rich) N.V.,Fortified Wine,Portugal,3.8,1034,,,,
Hidalgo (La Gitana),Alameda Cream Sherry N.V.,Fortified Wine,Spain,3.8,249,,,,
Marramiero,Altare 2016,White wine,Italy,4.3,83,28.99,,,
Maculan,Dindarello 2017,Dessert wine,Italy,4.1,288,23.99,,,
Oremus,Tokaji Aszú 3 Puttonyos 2000,Dessert wine,Hungary,4.3,284,,,,
Folias de Baco,Uivo Pt Nat Pinot Noir Rosé 2020,Rosé wine,Portugal,4.2,33,25,,,
Tormaresca,Negroamaro Salento Calafuria Rosato 2020,Rosé wine,Italy,4.2,150,15.29,,,
El Principal,Memorias 2015,Red wine,Chile,4.4,1478,37.99,,,
Domaine de la Croix,Iirrésistible Côtes de Provence Rosé 2019,Rosé wine,France,3.9,66,20.99,,,
Marchesi di Barolo,Zagara Moscato d’Asti 2018,Sparkling wine,Italy,4.1,215,24.99,,,
Nizas,Languedoc Rosé 2017,Rosé wine,France,4.0,30,21.99,,,
Digression,Provence Rosé 2018,Rosé wine,France,4.1,34,25.49,,,
Minuty,Prestige Rosé 2020,Rosé wine,France,4.0,81,29.99,,,
Saracco,Moscato d'Asti N.V.,Sparkling wine,Italy,4.1,10029,,,,
Susana Balbo,Signature Rosé 2019,Rosé wine,Argentina,4.2,415,18.99,,,
Fleurs de Prairie,Côtes de Provence 2019,Rosé wine,France,4.0,2237,15.99,,,
Pere Mata,Cava Cupada Rosé N.V.,Sparkling wine,Spain,4.0,250,,,,
Scheid Vineyards,Stokes' Ghost Petite Sirah 2016,Red wine,United States,4.3,104,28.55,,,
Château Guiraud,Sauternes (Premier Grand Cru Classé) 2008,Dessert wine,France,4.3,400,74.90,,,
Fabre en Provence,Côtes de Provence Rosé 2019,Rosé wine,France,3.9,115,13.95,,,
Domaine de la Pigeade,Muscat de Beaumes de Venise 2015,Fortified Wine,France,3.9,61,29.99,,,
Tenuta Ammiraglia,Alìe Rosé Toscana 2019,Rosé wine,Italy,4.0,488,28.99,,,
Orin Swift,Muté N.V.,Dessert wine,United States,4.2,244,,,,
Nickel & Nickel,Truchard Vineyard Chardonnay 2019,White wine,United States,4.2,72,38.23,,,
Tenuta Sant'Antonio,Scaia Bianco (Garganega - Chardonnay) 2018,White wine,Italy,4.1,2552,16,,,
Susana Balbo,Late Harvest Malbec 2013,Dessert wine,Argentina,3.9,84,29.95,,,
Miner,Chardonnay 2018,White wine,United States,4.2,55,29.57,,,
Jorge Ordóñez,No. 2 Victoria 2015,Dessert wine,Spain,4.3,491,24.99,,,
Curatolo Arini,Marsala Superiore Riserva Storica N.V.,Fortified Wine,Italy,4.0,151,,,,
G.D. Vajra,Moscato d'Asti 2020,Sparkling wine,Italy,4.0,124,19.99,,,
Maynard's,Fine White Port N.V.,Fortified Wine,Portugal,4.0,107,15.99,,,
Hartley & Gibson's,Cream Sherry N.V.,Fortified Wine,Spain,3.8,53,,,,
Alto Moncayo,Veraton Garnacha 2017,Red wine,Spain,4.3,1421,40,,,
Miraval,Côtes de Provence Rosé 2019,Rosé wine,France,3.9,1482,20.47,,,
Monteversa,Animaversa Rosso 2016,Red wine,Italy,4.4,37,45,,,
Royal Tokaji,Late Harvest 2017,Dessert wine,Hungary,4.2,384,20.99,,,
Cloudy Bay,Sauvignon Blanc 2020,White wine,New Zealand,4.2,1961,25.99,,,
El Enemigo,Cabernet Franc 2016,Red wine,Argentina,4.3,4834,29.99,,,
BenMarco,Expresivo 2018,Red wine,Argentina,4.3,1395,30,,,
Liquid Altitude,Freefall Red Sangria N.V.,Dessert wine,United States,4.3,32,,,,
Hartford Court,Pinot Noir 2018,Red wine,United States,4.3,648,29.99,,,
Titus,Zinfandel 2017,Red wine,United States,4.3,110,32.99,,,
Opolo,Mountain Zinfandel 2017,Red wine,United States,4.3,229,29.99,,,
Antinori,Tenuta Guado al Tasso Vermentino Bolgheri 2019,White wine,Italy,4.1,1749,22.99,,,
Emotion,Côtes de Provence Rosé 2018,Rosé wine,France,3.9,681,19.99,,,
Coastal Ridge Winery,White Zinfandel 2018,Rosé wine,United States,4.2,95,10.99,,,
Champalou,Vouvray 2019,White wine,France,4.2,285,23.95,,,
Château Pigoudet,Première Rosé 2020,Rosé wine,France,4.0,25,15.99,,,
Butler Nephew,10 Years Old White Port N.V.,Fortified Wine,Portugal,4.1,297,,,,
Storchi,Pozzoferrato Reggiano Rosso 2019,Sparkling wine,Italy,4.0,40,21.99,,,
Villa Maria,Private Bin Sauvignon Blanc 2019,White wine,New Zealand,4.1,7215,15.36,,,
Sierra Cantabria,Rosado 2018,Rosé wine,Spain,3.9,326,13.95,,,
Domaine La Tour Vieille,Rimage Banyuls 2017,Dessert wine,France,4.2,39,26.95,,,
Sans Liege,Cotes-du-Coast 2018,White wine,United States,4.2,49,30,,,
The Ned,Sauvignon Blanc 2019,White wine,New Zealand,4.1,2322,15.99,,,
Niepoort,Tawny Port N.V.,Fortified Wine,Portugal,3.8,1601,,,,
Epiphany,Rodney's Vineyard Petite Sirah 2017,Red wine,United States,4.3,25,32.99,,,
Stoller Family Estate,Pinot Noir Rosé 2018,Rosé wine,United States,4.0,146,24,,,
El Enemigo,Malbec 2017,Red wine,Argentina,4.4,4323,30,,,
Joseph Drouhin,Pouilly-Fuissé 2019,White wine,France,4.2,76,29.71,,,
SantoWines,Santorini Assyrtiko Trygos 2018,White wine,Greece,4.2,65,19.99,,,
Cavicchioli,Rosé N.V.,Sparkling wine,Italy,4.0,635,,,,
Bernardus,Chardonnay 2018,White wine,United States,4.3,732,21.99,,,
Lucien Albrecht,Cremant d'Alsace Brut Rosé N.V.,Sparkling wine,France,4.0,3152,,,,
Peregrine,Pinot Noir 2016,Red wine,New Zealand,4.3,279,32.99,,,
Château Coutet,Sauternes Barsac (Premier Grand Cru Classé) 2016,Dessert wine,France,4.2,220,69.98,,,
Marani,Satrapezo Saperavi 2016,Red wine,Georgia,4.3,229,31.99,,,
Bisson,Marca Trevigiana Glera Vino Frizzante 2019,Sparkling wine,Italy,4.2,159,16.99,,,
Txomin Etxaniz,Getaria Rosé 2018,Rosé wine,Spain,3.9,101,21.99,,,
François Chidaine,Les Tuffeaux Montlouis Sur Loire 2017,Dessert wine,France,4.1,83,39.99,,,
Stags' Leap,Petite Sirah 2017,Red wine,United States,4.3,1130,34.99,,,
Tormaresca,Negroamaro Salento Calafuria Rosato 2019,Rosé wine,Italy,4.0,1442,17.99,,,
Broadbent,Madeira Reserve 5 Years Old N.V.,Fortified Wine,Portugal,3.9,220,,,,
Rebuli,Zerogrammi Valdobbiadene Prosecco Superiore N.V.,Sparkling wine,Italy,4.2,337,,,,
La Gioiosa,Rosea Brut N.V.,Sparkling wine,Italy,4.0,2574,,,,
Viberti Giovanni,Rinato Langhe Chardonnay 2018,White wine,Italy,4.3,40,34.99,,,
Clos de la Roilette,Cuvée Tardive Fleurie 2019,Dessert wine,France,4.1,190,,,,
Antinori,Tenuta Guado al Tasso Scalabrone Bolgheri Rosato 2017,Rosé wine,Italy,4.0,1087,22.99,,,
Miraval,Côtes de Provence Rosé 2017,Rosé wine,France,3.9,5423,24.99,,,
Veuve du Vernay,Ice Rosé N.V.,Sparkling wine,France,4.0,3507,,,,
Château de Rayne Vigneau,Clos l'Abeilley Sauternes 2013,Dessert wine,France,3.8,77,32.99,,,
Henri Champliau,Petrone 68 Blanc de Blancs Brut N.V.,Sparkling wine,France,4.0,87,,,,
Hampton Water,Rosé 2020,Rosé wine,France,3.9,69,20.38,,,
Raymond,Primal Cut Cabernet Sauvignon 2016,Red wine,United States,4.4,29,23.99,,,
Mosquita Muerta,Sapo de Otro Pozo Blend de Tintas 2017,Red wine,Argentina,4.2,7011,35,,,
Dr. H. Thanisch,Berncasteler Doctor Riesling Kabinett 2018,White wine,Germany,4.3,91,24.99,,,
Lothian Vineyards,Vineyard Selection Chardonnay 2017,White wine,South Africa,4.2,128,24.99,,,
Franciscan,Magnificat 2017,Red wine,United States,4.3,148,35.69,,,
JJ Vincent,Marie Antoinette Pouilly-Fuissé 2018,White wine,France,4.2,83,26.99,,,
Cherrier Père & Fils,Sancerre Blanc 2019,White wine,France,4.2,36,22.99,,,
M. Lawrence,Sex Brut Rosé N.V.,Sparkling wine,United States,4.1,444,,,,
Peyrassol,La Croix des Templiers Rosé 2019,Rosé wine,France,4.0,323,14.99,,,
Graham Beck,Brut Rosé (Chardonnay - Pinot Noir) 2015,Rosé wine,South Africa,4.0,98,25.99,,,
DAOU,Discovery Collection Rosé 2019,Rosé wine,United States,3.9,238,19.99,,,
Skouras,ZOE Rose 2019,Rosé wine,Greece,3.9,134,14,,,
Domaine l'Ancienne Cure,L'Abbaye Monbazillac 2010,Dessert wine,France,4.0,39,21.95,,,
Michele Chiarlo,Moscato d'Asti Nivole 2019,Sparkling wine,Italy,4.1,628,19.95,,,
Citra,Laus Vitae Montepulciano d'Abruzzo 2012,Red wine,Italy,4.3,42,35.69,,,
Salvador,Lago Cerqueira Rosé 2019,Rosé wine,Portugal,4.1,172,12.50,,,
Illumination,Sauvignon Blanc 2018,White wine,United States,4.3,199,55,,,
Jean-Luc Colombo,Cape Bleue Rosé 2020,Rosé wine,France,4.1,27,13.99,,,
Ostatu,Rioja Rosé 2017,Rosé wine,Spain,4.0,92,20,,,
DeLille Cellars,Chaleur Blanc 2019,White wine,United States,4.3,63,32.99,,,
Terredora,Fiano di Avellino 2018,Dessert wine,Italy,3.8,226,20.39,,,
Tuck Beckstoffer,Mad Hatter 2018,Red wine,United States,4.4,70,50,,,
La Linda,Rosé de Malbec 2019,Rosé wine,Argentina,3.9,968,16.99,,,
Maynard's,10 Years Old Aged Tawny Porto N.V.,Fortified Wine,Portugal,3.8,613,,,,
Delheim,Edelspatz Noble Late Harvest Botrytis 2019,Dessert wine,South Africa,4.3,25,,,,
Villa Jolanda,Moscato & Coconut N.V.,Sparkling wine,Italy,4.0,210,,,,
